Name,Frequency,Size,Src
libpkgconf-1.8.0-3.fc37.x86_64,0,76077,pkgconf-1.8.0-3.fc37.src.rpm
libwbclient-2:4.17.3-0.fc37.x86_64,23,75232,samba-4.17.3-0.fc37.src.rpm
iptables-legacy-libs-1.8.8-3.fc37.x86_64,3,75024,iptables-1.8.8-3.fc37.src.rpm
linux-atm-libs-2.5.1-33.fc37.x86_64,1,74947,linux-atm-2.5.1-33.fc37.src.rpm
libkcapi-1.4.0-2.fc37.x86_64,1,74306,libkcapi-1.4.0-2.fc37.src.rpm
fuse-2.9.9-15.fc37.x86_64,0,73672,fuse-2.9.9-15.fc37.src.rpm
os-prober-1.81-1.fc37.x86_64,1,73107,os-prober-1.81-1.fc37.src.rpm
iptables-utils-1.8.8-3.fc37.x86_64,3,72930,iptables-1.8.8-3.fc37.src.rpm
gettext-envsubst-0.21.1-1.fc37.x86_64,8,72175,gettext-0.21.1-1.fc37.src.rpm
libcbor-0.7.0-7.fc37.x86_64,1,71747,libcbor-0.7.0-7.fc37.src.rpm
publicsuffix-list-dafsa-20210518-5.fc37.noarch,0,68815,publicsuffix-list-20210518-5.fc37.src.rpm
libsss_certmap-2.8.1-1.fc37.x86_64,9,66216,sssd-2.8.1-1.fc37.src.rpm
bzip2-1.0.8-12.fc37.x86_64,0,64865,bzip2-1.0.8-12.fc37.src.rpm
libmaxminddb-1.7.1-1.fc37.x86_64,1,64774,libmaxminddb-1.7.1-1.fc37.src.rpm
mokutil-2:0.6.0-5.fc37.x86_64,5,64429,mokutil-0.6.0-5.fc37.src.rpm
jansson-2.13.1-5.fc37.x86_64,0,63249,jansson-2.13.1-5.fc37.src.rpm
irqbalance-2:1.9.1-1.fc37.x86_64,3,63119,irqbalance-1.9.1-1.fc37.src.rpm
polkit-pkla-compat-0.1-22.fc37.x86_64,0,61688,polkit-pkla-compat-0.1-22.fc37.src.rpm
libgudev-237-3.fc37.x86_64,0,61660,libgudev-237-3.fc37.src.rpm
libndp-1.8-4.fc37.x86_64,0,61648,libndp-1.8-4.fc37.src.rpm
container-selinux-2:2.193.0-1.fc37.noarch,15,60018,container-selinux-2.193.0-1.fc37.src.rpm
libaio-0.3.111-14.fc37.x86_64,0,59780,libaio-0.3.111-14.fc37.src.rpm
clevis-luks-18-12.fc37.x86_64,3,59723,clevis-18-12.fc37.src.rpm
libutempter-1.2.1-7.fc37.x86_64,0,58861,libutempter-1.2.1-7.fc37.src.rpm
libcollection-0.7.0-52.fc37.x86_64,1,58456,ding-libs-0.6.2-52.fc37.src.rpm
fuse3-3.10.5-5.fc37.x86_64,2,57795,fuse3-3.10.5-5.fc37.src.rpm
snappy-1.1.9-5.fc37.x86_64,0,56013,snappy-1.1.9-5.fc37.src.rpm
kpartx-0.9.0-4.fc37.x86_64,4,55896,device-mapper-multipath-0.9.0-4.fc37.src.rpm
shadow-utils-subid-2:4.12.3-3.fc37.x86_64,6,55056,shadow-utils-4.12.3-3.fc37.src.rpm
numactl-libs-2.0.14-6.fc37.x86_64,0,54944,numactl-2.0.14-6.fc37.src.rpm
fstrm-0.6.1-5.fc37.x86_64,0,54048,fstrm-0.6.1-5.fc37.src.rpm
NetworkManager-team-1:1.40.0-1.fc37.x86_64,18,53640,NetworkManager-1.40.0-1.fc37.src.rpm
stalld-1.16-2.fc37.x86_64,1,52701,stalld-1.16-2.fc37.src.rpm
libcap-ng-0.8.3-3.fc37.x86_64,1,51568,libcap-ng-0.8.3-3.fc37.src.rpm
keyutils-libs-1.6.1-5.fc37.x86_64,0,51154,keyutils-1.6.1-5.fc37.src.rpm
libargon2-20190702-1.fc37.x86_64,2,50647,argon2-20190702-1.fc37.src.rpm
device-mapper-event-1.02.175-9.fc37.x86_64,0,50625,lvm2-2.03.11-9.fc37.src.rpm
containers-common-4:1-73.fc37.noarch,11,50607,containers-common-1-73.fc37.src.rpm
libtalloc-2.3.4-3.fc37.x86_64,1,50504,libtalloc-2.3.4-3.fc37.src.rpm
pkgconf-1.8.0-3.fc37.x86_64,0,47245,pkgconf-1.8.0-3.fc37.src.rpm
protobuf-c-1.4.1-2.fc37.x86_64,2,46877,protobuf-c-1.4.1-2.fc37.src.rpm
libluksmeta-9-14.fc37.x86_64,0,46678,luksmeta-9-14.fc37.src.rpm
libffi-3.4.2-9.fc37.x86_64,0,46612,libffi-3.4.2-9.fc37.src.rpm
libtool-ltdl-2.4.7-2.fc37.x86_64,4,45632,libtool-2.4.7-2.fc37.src.rpm
cyrus-sasl-gssapi-2.1.28-8.fc37.x86_64,5,45536,cyrus-sasl-2.1.28-8.fc37.src.rpm
authselect-1.4.0-3.fc37.x86_64,3,45488,authselect-1.4.0-3.fc37.src.rpm
inih-56-2.fc37.x86_64,2,42350,inih-56-2.fc37.src.rpm
libeconf-0.4.0-4.fc37.x86_64,0,42204,libeconf-0.4.0-4.fc37.src.rpm
libsss_nss_idmap-2.8.1-1.fc37.x86_64,9,41880,sssd-2.8.1-1.fc37.src.rpm
sssd-nfs-idmap-2.8.1-1.fc37.x86_64,9,41552,sssd-2.8.1-1.fc37.src.rpm
alternatives-1.21-1.fc37.x86_64,1,41112,chkconfig-1.21-1.fc37.src.rpm
libsigsegv-2.14-3.fc37.x86_64,0,38458,libsigsegv-2.14-3.fc37.src.rpm
selinux-policy-targeted-37.15-1.fc37.noarch,18,37198,selinux-policy-37.15-1.fc37.src.rpm
libacl-2.3.1-4.fc37.x86_64,0,37120,acl-2.3.1-4.fc37.src.rpm
libsss_idmap-2.8.1-1.fc37.x86_64,9,37112,sssd-2.8.1-1.fc37.src.rpm
